,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023,2024,2024,2024
,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
No.,,,,,,,,,,,,,,,,,,
1,DBC,MWG,MWG,HPG,DBC,HPG,HPG,ACV,DGC,ACV,ACV,DGC,BMP,ACV,ACV,ACV,ACV,ACV
2,MWG,VCF,VCF,MCH,DHC,IPA,MCH,DGC,DPM,BSR,DGC,MCH,BSR,GMD,BSR,HPG,FPT,BMP
3,VCF,VNM,VNM,MWG,HPG,MWG,MWG,MSN,GVR,DGC,IDP,MWG,GAS,GVR,HPG,MCH,HVN,MCH
4,VNM,,,VCF,MWG,,VCF,MWG,HPG,GAS,MSN,PLX,HPG,MSN,VCF,MWG,MCH,MSN
5,,,,VEA,VCF,,VCS,VCF,VCF,GVR,MWG,VCF,PDN,MWG,,VCF,MSN,MWG
6,,,,VNM,VEA,,VNM,VNM,,HPG,VCF,VEA,REE,VCF,,VNM,MWG,VCF
7,,,,,,,,,,VCF,VNM,VNM,VCF,VNM,,,VCF,VEA
8,,,,,,,,,,VHC,,,VEA,,,,VNM,VNM
