Year,Quarter,Minimum Efficiency,Maximum Efficiency,Average Efficiency,Number of Efficient Firms,Efficient Firms (%)
2020,2,0.10,1.00,0.32,1,1.41%
2020,3,0.02,1.00,0.28,1,1.27%
2020,4,0.06,1.00,0.22,1,1.25%
2021,1,0.07,1.00,0.32,1,1.18%
2021,2,0.08,1.00,0.45,1,1.20%
2021,3,0.07,1.00,0.24,1,1.20%
2021,4,0.05,1.00,0.35,1,1.23%
2022,1,0.06,1.00,0.33,1,1.20%
2022,2,0.04,1.00,0.32,1,1.15%
2022,3,0.12,1.00,0.45,1,1.25%
2022,4,0.03,1.00,0.34,1,1.30%
2023,1,0.07,1.00,0.36,1,1.39%
2023,2,0.03,1.00,0.37,2,2.53%
2023,3,0.02,1.00,0.23,1,1.32%
2023,4,0.03,1.00,0.30,1,1.33%
2024,1,0.03,1.00,0.28,1,1.30%
2024,2,0.06,1.00,0.33,1,1.28%
2024,3,0.07,1.00,0.35,1,1.22%
